Tabla de Cálculos Comparativa - Temporada Alta
Fecha de Exportación: 2025-08-28

Concepto,SCENARIO-4: Transporte Aumentado (Importado),SCENARIO-3: Compostaje + Separación Mejorada (Importado),SCENARIO-2: Solo Compostaje (Importado),SCENARIO-1: Baseline Realista (Importado),Unidad
"ETAPA 1: GENERACIÓN DE RSU","","","","",""
"Generación Total de RSU","27.70","27.70","27.70","27.70","ton/día"
"  - Generado por Hoteles","4.89","4.89","4.89","4.89","ton/día"
"  - Generado por Restaurantes","11.31","11.31","11.31","11.31","ton/día"
"  - Generado por Hogares","1.98","1.98","1.98","1.98","ton/día"
"  - Generado por Comercios","9.53","9.53","9.53","9.53","ton/día"
"ETAPA 2: RECOLECCIÓN Y LOGÍSTICA PRIMARIA","","","","",""
"Capacidad de Recolección","40.00","40.00","40.00","40.00","ton/día"
"Déficit de Recolección (Fuga)","0.00","0.00","0.00","0.00","ton/día"
"Total Recolectado","27.70","27.70","27.70","27.70","ton/día"
"  - Recuperación Informal (en ruta)","0.12","0.12","0.12","0.12","ton/día"
"  - Fuga en Recolección","4.14","4.14","4.14","4.14","ton/día"
"Entrada a Sitio de Transferencia","23.45","23.45","23.45","23.45","ton/día"
"ETAPA 3: SITIO DE TRANSFERENCIA Y VALORIZACIÓN","","","","",""
"Material Procesado (Promedio diario)","23.45","23.45","23.45","23.45","ton/día"
"Inventario Acumulado (Día 30)","220.63","57.41","114.20","350.00","ton"
"Recuperación Formal Total","2.52","4.42","2.52","2.52","ton/día"
"  - Recuperado Alta Calidad (Origen)","0.94","3.98","0.94","0.94","ton/día"
"  - Recuperado Baja Calidad (Planta)","1.58","0.44","1.58","1.58","ton/día"
"  - Fuga en Planta","0.23","0.23","0.23","0.23","ton/día"
"  - Material Valorizado Total","0.00","10.55","10.55","0.00","ton/día"
"    - Compostaje","0.00","10.55","10.55","0.00","ton/día"
"    - Biogás","0.00","0.00","0.00","0.00","ton/día"
"    - Pirólisis","0.00","0.00","0.00","0.00","ton/día"
"Material para Traslado Final","20.69","8.25","10.14","20.69","ton/día"
"ETAPA 4: TRASLADO Y DISPOSICIÓN FINAL","","","","",""
"Material Efectivamente Trasladado","15.00","8.00","8.00","8.00","ton/día"
"Material No Trasladado (acum. en planta)","5.69","0.25","2.14","12.69","ton/día"
"  - Fuga en Traslado Final","0.08","0.04","0.04","0.04","ton/día"
"Entrada a Disposición Final","14.92","7.96","7.96","7.96","ton/día"
"  - Recuperación Informal (en sitio)","0.13","0.05","0.06","0.13","ton/día"
"  - Fuga en Disposición Final","0.30","0.16","0.16","0.16","ton/día"
"Residuo Final Enterrado","14.50","7.75","7.74","7.67","ton/día"
"ANÁLISIS FINANCIERO (SOLO RSU)","","","","",""
"Ingresos Totales por Venta","7,604.34","16,601.84","12,878.21","7,604.34","MXN/día"
"Costos Totales de Operación","35,395.88","32,969.43","32,969.43","30,859.88","MXN/día"
"  - Costo de Recolección","22,159.10","22,159.10","22,159.10","22,159.10","MXN/día"
"  - Costo de Transferencia","3,516.77","3,516.77","3,516.77","3,516.77","MXN/día"
"  - Costo de Traslado Final","3,750.00","2,000.00","2,000.00","2,000.00","MXN/día"
"  - Costo de Disposición Final","5,970.00","3,184.00","3,184.00","3,184.00","MXN/día"
"  - Costos de Valorización","0.00","2,109.55","2,109.55","0.00","MXN/día"
"  - Ingresos de Valorización","0.00","5,273.87","5,273.87","0.00","MXN/día"
"Programas de Separación (Costos)","0.00","2,735.91","0.00","0.00","MXN/día"
"  - Educación","0.00","434.66","0.00","0.00","MXN/día"
"  - Incentivos","0.00","795.63","0.00","0.00","MXN/día"
"  - Contenedores","0.00","843.62","0.00","0.00","MXN/día"
"Costo Neto del Sistema RSU","27,791.54","16,367.59","20,091.22","23,255.54","MXN/día"
