Tabla de Cálculos Comparativa - Temporada Baja
Fecha de Exportación: 2025-08-28

Concepto,SCENARIO-8: Solución Integral Moderada (Importado),SCENARIO-7: Costos Optimizados (Importado),SCENARIO-6: Restaurantes Optimizados (Importado),SCENARIO-5: Transporte + Compostaje (Importado),Unidad
"ETAPA 1: GENERACIÓN DE RSU","","","","",""
"Generación Total de RSU","22.49","23.90","21.64","23.90","ton/día"
"  - Generado por Hoteles","1.09","1.09","1.09","1.09","ton/día"
"  - Generado por Restaurantes","9.90","11.31","9.05","11.31","ton/día"
"  - Generado por Hogares","1.98","1.98","1.98","1.98","ton/día"
"  - Generado por Comercios","9.53","9.53","9.53","9.53","ton/día"
"ETAPA 2: RECOLECCIÓN Y LOGÍSTICA PRIMARIA","","","","",""
"Capacidad de Recolección","40.00","40.00","40.00","40.00","ton/día"
"Déficit de Recolección (Fuga)","0.00","0.00","0.00","0.00","ton/día"
"Total Recolectado","22.49","23.90","21.64","23.90","ton/día"
"  - Recuperación Informal (en ruta)","0.09","0.10","0.09","0.10","ton/día"
"  - Fuga en Recolección","3.36","3.57","3.23","3.57","ton/día"
"Entrada a Sitio de Transferencia","19.04","20.23","18.32","20.23","ton/día"
"ETAPA 3: SITIO DE TRANSFERENCIA Y VALORIZACIÓN","","","","",""
"Material Procesado (Promedio diario)","19.04","20.23","18.32","20.23","ton/día"
"Inventario Acumulado (Día 30)","50.00","345.90","289.73","50.00","ton"
"Recuperación Formal Total","3.43","2.16","2.14","2.16","ton/día"
"  - Recuperado Alta Calidad (Origen)","2.92","0.79","1.03","0.79","ton/día"
"  - Recuperado Baja Calidad (Planta)","0.51","1.37","1.12","1.37","ton/día"
"  - Fuga en Planta","0.19","0.20","0.18","0.20","ton/día"
"  - Material Valorizado Total","8.35","0.00","0.00","8.53","ton/día"
"    - Compostaje","8.35","0.00","0.00","8.53","ton/día"
"    - Biogás","0.00","0.00","0.00","0.00","ton/día"
"    - Pirólisis","0.00","0.00","0.00","0.00","ton/día"
"Material para Traslado Final","7.07","17.86","15.99","9.33","ton/día"
"ETAPA 4: TRASLADO Y DISPOSICIÓN FINAL","","","","",""
"Material Efectivamente Trasladado","7.07","8.00","8.00","9.33","ton/día"
"Material No Trasladado (acum. en planta)","0.00","9.86","7.99","0.00","ton/día"
"  - Fuga en Traslado Final","0.04","0.04","0.04","0.05","ton/día"
"Entrada a Disposición Final","7.03","7.96","7.96","9.28","ton/día"
"  - Recuperación Informal (en sitio)","0.04","0.11","0.10","0.06","ton/día"
"  - Fuga en Disposición Final","0.14","0.16","0.16","0.19","ton/día"
"Residuo Final Enterrado","6.85","7.69","7.70","9.04","ton/día"
"ANÁLISIS FINANCIERO (SOLO RSU)","","","","",""
"Ingresos Totales por Venta","13,091.94","6,534.32","6,276.66","10,800.24","MXN/día"
"Costos Totales de Operación","24,849.65","22,557.52","25,244.92","29,906.36","MXN/día"
"  - Costo de Recolección","15,745.04","14,339.23","17,313.22","19,118.98","MXN/día"
"  - Costo de Transferencia","2,855.80","3,034.29","2,747.70","3,034.29","MXN/día"
"  - Costo de Traslado Final","1,766.42","2,000.00","2,000.00","2,332.84","MXN/día"
"  - Costo de Disposición Final","2,812.14","3,184.00","3,184.00","3,713.88","MXN/día"
"  - Costos de Valorización","1,670.23","0.00","0.00","1,706.37","MXN/día"
"  - Ingresos de Valorización","4,175.59","0.00","0.00","4,265.92","MXN/día"
"Programas de Separación (Costos)","1,909.27","0.00","0.00","0.00","MXN/día"
"  - Educación","391.19","0.00","0.00","0.00","MXN/día"
"  - Incentivos","525.33","0.00","0.00","0.00","MXN/día"
"  - Contenedores","787.38","0.00","0.00","0.00","MXN/día"
"Costo Neto del Sistema RSU","11,757.71","16,023.20","18,968.26","19,106.12","MXN/día"
