"Tabla de Cálculos Detallados","Temporada Alta","",""
"Concepto","Valor","Unidad","Inputs y Desglose del Cálculo"
"","","",""
"ETAPA 1: GENERACIÓN DE RSU","","",""
"Generación Total de RSU","27.70","ton/día","Suma de todas las fuentes"
"  Generado por Hoteles","4.89","ton/día","4524 cuartos × 90% ocup. × 1.2 kg/cuarto/día ÷ 1000"
"  Generado por Restaurantes","11.31","ton/día","99 locales × 114.2 kg/local/día ÷ 1000"
"  Generado por Hogares","1.98","ton/día","2673 hab. × 0.74 kg/hab/día ÷ 1000"
"  Generado por Comercios","9.53","ton/día","482 locales × 19.77 kg/local/día ÷ 1000"
"","","",""
"ETAPA 2: RECOLECCIÓN Y LOGÍSTICA PRIMARIA","","",""
"Capacidad de Recolección","40.00","ton/día","4 veh. × 5 ton × 2 viajes"
"Déficit de Recolección (Fuga)","0.00","ton/día","MAX(0, Generación RSU - Capacidad)"
"Total Recolectado","27.70","ton/día","Generación RSU - Déficit"
"  Recuperación Informal (en ruta)","0.12","ton/día","Total Recolectado × 2%"
"  Fuga en Recolección (derrame)","4.14","ton/día","(Recolectado - Rec. Informal) × 15%"
"Entrada a Sitio de Transferencia","23.45","ton/día","Recolectado - Rec. Informal - Fuga"
"","","",""
"ETAPA 3: SITIO DE TRANSFERENCIA Y VALORIZACIÓN","","",""
"Tasa de Procesamiento de la Planta","50.00","ton/día","Input: Capacidad de la maquinaria"
"Material Procesado (Promedio diario)","50.00","ton/día","MIN(Material Disponible, Tasa de Proc.)"
"Inventario Acumulado (Día 30)","350.00","ton","Acumulación diaria limitada por capacidad"
"Recuperación Formal Total","2.52","ton/día","Suma de Alta y Baja Calidad"
"    Recuperado Alta Calidad (Origen)","0.94","ton/día",""
"    Recuperado Baja Calidad (Planta)","1.58","ton/día",""
"  Fuga en Planta (pérdida de proceso)","0.50","ton/día","Material Procesado × 1%"
"Material para Traslado Final","46.98","ton/día","Procesado - Recuperado - Fuga"
"","","",""
"ETAPA 4: TRASLADO Y DISPOSICIÓN FINAL","","",""
"Capacidad de Traslado Final","9.60","ton/día","Input: Capacidad de camiones de carga"
"Material Efectivamente Trasladado","9.60","ton/día","MIN(Material para Traslado, Capacidad)"
"  Material No Trasladado (acum. en planta)","37.38","ton/día","Material para Traslado - Trasladado"
"  Fuga en Traslado Final","0.05","ton/día","Trasladado × 0.5%"
"Entrada a Disposición Final","9.55","ton/día","Trasladado - Fuga en Traslado"
"  Recuperación Informal (en sitio)","0.14","ton/día","Entrada a Disp. × % Valorizables × 3%"
"  Fuga en Disposición Final","0.19","ton/día","Entrada a Disp. × 2%"
"Residuo Final Enterrado","9.22","ton/día","Entrada a Disp. - Rec. Informal - Fuga"
"","","",""
"ANÁLISIS FINANCIERO (SOLO RSU)","","",""
"Ingresos Totales por Venta","7604.34","MXN/día","Suma de venta de materiales"
"Costos Totales de Operación","35879.90","MXN/día","Suma de costos de todas las etapas"
"  Costo de Recolección","22159.10","MXN/día","Total Recolectado × 800 MXN/ton"
"  Costo de Transferencia","7500.00","MXN/día","Material Procesado × 150 MXN/ton"
"  Costo de Traslado Final","2400.00","MXN/día","Material Trasladado × 250 MXN/ton"
"  Costo de Disposición Final","3820.80","MXN/día","Entrada a Disp. × 400 MXN/ton"
"Costo Neto del Sistema RSU","28275.57","MXN/día","Costos Totales - Ingresos Totales"
