Tabla de Cálculos Comparativa - Temporada Alta
Fecha de Exportación: 2025-08-28

Concepto,SCENARIO-8: Solución Integral Moderada (Importado),SCENARIO-7: Costos Optimizados (Importado),SCENARIO-6: Restaurantes Optimizados (Importado),SCENARIO-5: Transporte + Compostaje (Importado),Unidad
"ETAPA 1: GENERACIÓN DE RSU","","","","",""
"Generación Total de RSU","26.29","27.70","25.44","27.70","ton/día"
"  - Generado por Hoteles","4.89","4.89","4.89","4.89","ton/día"
"  - Generado por Restaurantes","9.90","11.31","9.05","11.31","ton/día"
"  - Generado por Hogares","1.98","1.98","1.98","1.98","ton/día"
"  - Generado por Comercios","9.53","9.53","9.53","9.53","ton/día"
"ETAPA 2: RECOLECCIÓN Y LOGÍSTICA PRIMARIA","","","","",""
"Capacidad de Recolección","40.00","40.00","40.00","40.00","ton/día"
"Déficit de Recolección (Fuga)","0.00","0.00","0.00","0.00","ton/día"
"Total Recolectado","26.29","27.70","25.44","27.70","ton/día"
"  - Recuperación Informal (en ruta)","0.11","0.12","0.11","0.12","ton/día"
"  - Fuga en Recolección","3.93","4.14","3.80","4.14","ton/día"
"Entrada a Sitio de Transferencia","22.26","23.45","21.53","23.45","ton/día"
"ETAPA 3: SITIO DE TRANSFERENCIA Y VALORIZACIÓN","","","","",""
"Material Procesado (Promedio diario)","22.26","23.45","21.53","23.45","ton/día"
"Inventario Acumulado (Día 30)","50.00","350.00","350.00","50.00","ton"
"Recuperación Formal Total","4.01","2.52","2.50","2.52","ton/día"
"  - Recuperado Alta Calidad (Origen)","3.41","0.94","1.18","0.94","ton/día"
"  - Recuperado Baja Calidad (Planta)","0.60","1.58","1.32","1.58","ton/día"
"  - Fuga en Planta","0.22","0.23","0.22","0.23","ton/día"
"  - Material Valorizado Total","9.76","0.00","0.00","9.89","ton/día"
"    - Compostaje","9.76","0.00","0.00","9.89","ton/día"
"    - Biogás","0.00","0.00","0.00","0.00","ton/día"
"    - Pirólisis","0.00","0.00","0.00","0.00","ton/día"
"Material para Traslado Final","8.26","20.69","18.82","10.80","ton/día"
"ETAPA 4: TRASLADO Y DISPOSICIÓN FINAL","","","","",""
"Material Efectivamente Trasladado","8.26","8.00","8.00","10.80","ton/día"
"Material No Trasladado (acum. en planta)","0.00","12.69","10.82","0.00","ton/día"
"  - Fuga en Traslado Final","0.04","0.04","0.04","0.05","ton/día"
"Entrada a Disposición Final","8.22","7.96","7.96","10.75","ton/día"
"  - Recuperación Informal (en sitio)","0.05","0.13","0.12","0.07","ton/día"
"  - Fuga en Disposición Final","0.16","0.16","0.16","0.21","ton/día"
"Residuo Final Enterrado","8.01","7.67","7.68","10.46","ton/día"
"ANÁLISIS FINANCIERO (SOLO RSU)","","","","",""
"Ingresos Totales por Venta","15,298.32","7,604.34","7,346.68","12,548.59","MXN/día"
"Costos Totales de Operación","29,049.92","25,320.10","28,767.53","34,651.46","MXN/día"
"  - Costo de Recolección","18,405.16","16,619.33","20,353.34","22,159.10","MXN/día"
"  - Costo de Transferencia","3,338.29","3,516.77","3,230.19","3,516.77","MXN/día"
"  - Costo de Traslado Final","2,065.61","2,000.00","2,000.00","2,699.80","MXN/día"
"  - Costo de Disposición Final","3,288.45","3,184.00","3,184.00","4,298.08","MXN/día"
"  - Costos de Valorización","1,952.42","0.00","0.00","1,977.70","MXN/día"
"  - Ingresos de Valorización","4,881.05","0.00","0.00","4,944.25","MXN/día"
"Programas de Separación (Costos)","2,387.36","0.00","0.00","0.00","MXN/día"
"  - Educación","391.19","0.00","0.00","0.00","MXN/día"
"  - Incentivos","613.00","0.00","0.00","0.00","MXN/día"
"  - Contenedores","787.38","0.00","0.00","0.00","MXN/día"
"Costo Neto del Sistema RSU","13,751.59","17,715.76","21,420.85","22,102.87","MXN/día"
