Tabla de Cálculos Comparativa - Temporada Baja
Fecha de Exportación: 2025-08-28

Concepto,SCENARIO-4: Transporte Aumentado (Importado),SCENARIO-3: Compostaje + Separación Mejorada (Importado),SCENARIO-2: Solo Compostaje (Importado),SCENARIO-1: Baseline Realista (Importado),Unidad
"ETAPA 1: GENERACIÓN DE RSU","","","","",""
"Generación Total de RSU","23.90","23.90","23.90","23.90","ton/día"
"  - Generado por Hoteles","1.09","1.09","1.09","1.09","ton/día"
"  - Generado por Restaurantes","11.31","11.31","11.31","11.31","ton/día"
"  - Generado por Hogares","1.98","1.98","1.98","1.98","ton/día"
"  - Generado por Comercios","9.53","9.53","9.53","9.53","ton/día"
"ETAPA 2: RECOLECCIÓN Y LOGÍSTICA PRIMARIA","","","","",""
"Capacidad de Recolección","40.00","40.00","40.00","40.00","ton/día"
"Déficit de Recolección (Fuga)","0.00","0.00","0.00","0.00","ton/día"
"Total Recolectado","23.90","23.90","23.90","23.90","ton/día"
"  - Recuperación Informal (en ruta)","0.10","0.10","0.10","0.10","ton/día"
"  - Fuga en Recolección","3.57","3.57","3.57","3.57","ton/día"
"Entrada a Sitio de Transferencia","20.23","20.23","20.23","20.23","ton/día"
"ETAPA 3: SITIO DE TRANSFERENCIA Y VALORIZACIÓN","","","","",""
"Material Procesado (Promedio diario)","20.23","20.23","20.23","20.23","ton/día"
"Inventario Acumulado (Día 30)","135.90","50.00","72.88","345.90","ton"
"Recuperación Formal Total","2.16","3.81","2.16","2.16","ton/día"
"  - Recuperado Alta Calidad (Origen)","0.79","3.43","0.79","0.79","ton/día"
"  - Recuperado Baja Calidad (Planta)","1.37","0.38","1.37","1.37","ton/día"
"  - Fuga en Planta","0.20","0.20","0.20","0.20","ton/día"
"  - Material Valorizado Total","0.00","9.10","9.10","0.00","ton/día"
"    - Compostaje","0.00","9.10","9.10","0.00","ton/día"
"    - Biogás","0.00","0.00","0.00","0.00","ton/día"
"    - Pirólisis","0.00","0.00","0.00","0.00","ton/día"
"Material para Traslado Final","17.86","7.12","8.76","17.86","ton/día"
"ETAPA 4: TRASLADO Y DISPOSICIÓN FINAL","","","","",""
"Material Efectivamente Trasladado","15.00","7.12","8.00","8.00","ton/día"
"Material No Trasladado (acum. en planta)","2.86","0.00","0.76","9.86","ton/día"
"  - Fuga en Traslado Final","0.08","0.04","0.04","0.04","ton/día"
"Entrada a Disposición Final","14.92","7.08","7.96","7.96","ton/día"
"  - Recuperación Informal (en sitio)","0.11","0.04","0.05","0.11","ton/día"
"  - Fuga en Disposición Final","0.30","0.14","0.16","0.16","ton/día"
"Residuo Final Enterrado","14.52","6.89","7.75","7.69","ton/día"
"ANÁLISIS FINANCIERO (SOLO RSU)","","","","",""
"Ingresos Totales por Venta","6,534.32","14,324.08","11,084.64","6,534.32","MXN/día"
"Costos Totales de Operación","31,873.27","28,584.34","29,157.39","27,337.27","MXN/día"
"  - Costo de Recolección","19,118.98","19,118.98","19,118.98","19,118.98","MXN/día"
"  - Costo de Transferencia","3,034.29","3,034.29","3,034.29","3,034.29","MXN/día"
"  - Costo de Traslado Final","3,750.00","1,778.91","2,000.00","2,000.00","MXN/día"
"  - Costo de Disposición Final","5,970.00","2,832.03","3,184.00","3,184.00","MXN/día"
"  - Costos de Valorización","0.00","1,820.13","1,820.13","0.00","MXN/día"
"  - Ingresos de Valorización","0.00","4,550.32","4,550.32","0.00","MXN/día"
"Programas de Separación (Costos)","0.00","2,192.93","0.00","0.00","MXN/día"
"  - Educación","0.00","434.66","0.00","0.00","MXN/día"
"  - Incentivos","0.00","686.46","0.00","0.00","MXN/día"
"  - Contenedores","0.00","843.62","0.00","0.00","MXN/día"
"Costo Neto del Sistema RSU","25,338.95","14,260.26","18,072.76","20,802.95","MXN/día"
