id,name,subscian,subscian_desc,strata,lat,lng,weight,rooms_prior,rooms_manual,rooms_source,rooms_final,suspicious
denue/9389802,VILAS HM PARAISO DELMAR,721111,Hotel con servicios integrados,51 a 100 personas,21.52861455,-87.373084,97.5,128,58,official,58,
denue/6803941,VILLAS HM PALAPAS DEL MAR,721111,Hotel con servicios integrados,51 a 100 personas,21.52727227,-87.37325079,97.5,128,52,official,52,
denue/11571842,HOTEL HOLBOX DREAM,721112,Hotel sin servicios integrados,31 a 50 personas,21.52292638,-87.38228832,40.0,52,47,tripadvisor,47,
denue/10854349,HOTEL ALDEA KUKA,721112,Hotel sin servicios integrados,31 a 50 personas,21.53076742,-87.36793794,40.0,52,44,booking,44,
denue/9281119,HOTEL VILLAS FLAMINGOS,721111,Hotel con servicios integrados,51 a 100 personas,21.5321678,-87.36647932,97.5,128,41,tripadvisor,41,
denue/9319757,HOTEL BLUE HOLBOX,721111,Hotel con servicios integrados,11 a 30 personas,21.52959755,-87.37138971,26.0,34,40,google,40,
denue/9269130,MYSTIQUE BLUE SUITES,721111,Hotel con servicios integrados,51 a 100 personas,21.52069516,-87.38351457,97.5,128,38,official,38,
denue/11729147,HOTEL BOUTIQUE AWA,721112,Hotel sin servicios integrados,11 a 30 personas,21.51772991,-87.38810476,20.0,26,33,booking,33,
denue/8839327,HOTEL CABAÑAS COCONUT,721190,"Cabañas, villas y similares",6 a 10 personas,21.52164025,-87.37739527,6.4,8,30,tripadvisor,30,
denue/8726977,HOTEL CASA DE LAS TORTUGAS,721112,Hotel sin servicios integrados,31 a 50 personas,21.52548285,-87.37783466,40.0,52,30,official,30,
denue/8132413,HOTEL LOS ARCOS,721112,Hotel sin servicios integrados,6 a 10 personas,21.52336179,-87.37925292,8.0,10,30,booking,30,
denue/12289200,HOTEL NOMADE HOLBOX,721112,Hotel sin servicios integrados,51 a 100 personas,21.5164722,-87.39013965,75.0,98,30,official,30,
denue/9317024,HOTEL PALAPAS DEL SOL,721111,Hotel con servicios integrados,11 a 30 personas,21.53048874,-87.36991691,26.0,34,30,official,30,
denue/9327509,HOTEL HOLBOX BY XALOC,721111,Hotel con servicios integrados,11 a 30 personas,21.52640326,-87.37420448,26.0,34,29,official,29,
denue/6384870,HOTEL LAS NUBES DE HOLBOX,721111,Hotel con servicios integrados,11 a 30 personas,21.53396543,-87.36402857,26.0,34,28,booking,28,
denue/11683198,HOTEL NAJ CASA HOLBOX,721112,Hotel sin servicios integrados,11 a 30 personas,21.5200682,-87.37860757,20.0,26,28,booking,28,
denue/7833527,BEACH FRONT HOTEL LA PALAPA,721112,Hotel sin servicios integrados,11 a 30 personas,21.52415381,-87.38122519,20.0,26,25,official,25,
denue/7878523,HOTEL VILLAS TIBURON,721112,Hotel sin servicios integrados,11 a 30 personas,21.53138374,-87.36758336,20.0,26,25,booking,25,
denue/10460905,HOSTEL BARCO VERDE,721190,"Cabañas, villas y similares",0 a 5 personas,21.52327293,-87.38095361,2.4,3,24,tripadvisor,24,
denue/10626427,HOTEL MAYARI,721112,Hotel sin servicios integrados,6 a 10 personas,21.52053705,-87.37830171,8.0,10,22,booking,22,
denue/9311563,MACONDO HOLBOX,721111,Hotel con servicios integrados,11 a 30 personas,21.52327213,-87.38138015,26.0,34,22,booking,22,
denue/11170649,HOTEL SOHO BOUTIQUE,721111,Hotel con servicios integrados,11 a 30 personas,21.51691592,-87.38935125,26.0,34,21,official,21,
denue/11320101,CASA ASTRAL,721112,Hotel sin servicios integrados,11 a 30 personas,21.51873827,-87.38699195,20.0,26,20,expedia,20,
denue/9279328,HOTEL CASA MARGOT,721111,Hotel con servicios integrados,11 a 30 personas,21.51713773,-87.38679513,26.0,34,20,google,20,
denue/11808406,HOTEL NAI HOLBOX,721112,Hotel sin servicios integrados,31 a 50 personas,21.51268636,-87.39492275,40.0,52,20,estimate,20,
denue/8730769,HOTEL VILLAS DEL PALMAR,721112,Hotel sin servicios integrados,0 a 5 personas,21.52532713,-87.37431737,3.0,4,20,tripadvisor,20,
denue/9275329,RECIDENCIAL CIELITO HOMES,721111,Hotel con servicios integrados,11 a 30 personas,21.52748768,-87.37232366,26.0,34,20,google,20,
denue/8705858,CASA BARBARA,721112,Hotel sin servicios integrados,6 a 10 personas,21.52190619,-87.37756824,8.0,10,19,booking,19,
denue/9330511,HOTEL CASA HX,721111,Hotel con servicios integrados,11 a 30 personas,21.51341179,-87.39123643,26.0,34,19,official,19,
denue/9644541,HOTEL HAU BOUTIQUE,721111,Hotel con servicios integrados,11 a 30 personas,21.51646792,-87.39013477,26.0,34,19,booking,19,
denue/9304893,SUITS VILLAS EL JARDIN,721111,Hotel con servicios integrados,11 a 30 personas,21.5228058,-87.37864086,26.0,34,19,booking,19,
denue/9276400,HOTEL SER CASASANDRA,721111,Hotel con servicios integrados,11 a 30 personas,21.52693122,-87.37479934,26.0,34,18,official,18,
denue/9281117,HOTEL VILLAS MARGARITAS,721111,Hotel con servicios integrados,6 a 10 personas,21.52510742,-87.37609635,10.4,14,18,tripadvisor,18,
denue/9968218,POSADA YALEKIN,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52337532,-87.38138616,1.5,2,18,official,18,
denue/9051683,HOTEL DIOSA KALI,721112,Hotel sin servicios integrados,11 a 30 personas,21.52545395,-87.37933156,20.0,26,17,official,17,
denue/7878468,HOTEL AMAITE,721112,Hotel sin servicios integrados,11 a 30 personas,21.52460021,-87.38059624,20.0,26,16,official,16,
denue/9304894,HOTEL PARA TI,721111,Hotel con servicios integrados,6 a 10 personas,21.5217464,-87.3807137,10.4,14,16,official,16,
denue/11074434,HOTEL TROPICAL SUITES BY MIJ,721112,Hotel sin servicios integrados,6 a 10 personas,21.521584,-87.37929879,8.0,10,16,expedia,16,
denue/9320453,HOTEL VILLAS CARACOL,721111,Hotel con servicios integrados,11 a 30 personas,21.53103522,-87.36908784,26.0,34,16,official,16,
denue/11670406,HOSTAL HOLBOX,721190,"Cabañas, villas y similares",0 a 5 personas,21.52418026,-87.37783026,2.4,3,15,tripadvisor,15,
denue/12289082,HOTEL CASA DEL VIENTO,721111,Hotel con servicios integrados,0 a 5 personas,21.52226893,-87.38133241,3.9,5,15,booking,15,
denue/9290884,HOTEL HOLMAR,721111,Hotel con servicios integrados,11 a 30 personas,21.52530968,-87.37890674,26.0,34,15,booking,15,
denue/12289025,HOTEL TIERRA MIA,721111,Hotel con servicios integrados,11 a 30 personas,21.52629891,-87.37501657,26.0,34,15,official,15,
denue/10127825,CASA HX,721111,Hotel con servicios integrados,11 a 30 personas,21.51271548,-87.39122299,26.0,34,14,booking,14,
denue/11320157,HOTEL ARUMA HA,721112,Hotel sin servicios integrados,0 a 5 personas,21.51854249,-87.3817766,3.0,4,14,booking,14,
denue/8726976,HOTEL EN LA PLAYA MAWIMBI,721112,Hotel sin servicios integrados,0 a 5 personas,21.52584005,-87.37752048,3.0,4,14,official,14,
denue/11770384,HOTEL LA PUERTA AZUL HOLBOX,721111,Hotel con servicios integrados,6 a 10 personas,21.51639219,-87.39004851,10.4,14,14,official,14,
denue/9278000,HOTEL PUERTO HOLBOX,721111,Hotel con servicios integrados,6 a 10 personas,21.52044635,-87.38376548,10.4,14,14,booking,14,
denue/11155397,HOTEL SPIRIT,721111,Hotel con servicios integrados,11 a 30 personas,21.51730216,-87.38961524,26.0,34,14,official,14,
