name,rooms,source,confidence,note
HOTEL VILLAS FLAMINGOS,41,tripadvisor,medium,agregadores 40-41; listings viejos 14-15
MYSTIQUE BLUE SUITES,38,official,high,Mystique Holbox by Royalton 38 suites
VILAS HM PARAISO DELMAR,58,official,high,52 junior + 6 master suites
VILLAS HM PALAPAS DEL MAR,52,official,high,sitio oficial 52 villas
HOTEL NOMADE HOLBOX,30,official,high,30 suites incl 6 treehouses
HOTEL ALDEA KUKA,44,booking,high,eco boutique 44 cuartos
HOTEL CASA DE LAS TORTUGAS,30,official,medium,oficial 30; algunos 21-27
HOTEL HOLBOX DREAM,47,tripadvisor,high,47 cuartos
HOTEL NAI HOLBOX,20,estimate,low,boutique pequeno; conteo ambiguo
CASA HX,14,booking,medium,adults-only; 14 (algunos 19)
CASA IMOX,6,official,medium,villa-style 2 villas 2 apts 2 rooms
CASA TAKYWARA,6,booking,medium,boutique villa ~6
GOLDEN PARADISE TOWN,10,tripadvisor,medium,10 cuartos agregadores
HOTEL BLUE HOLBOX,40,google,medium,4-star 40 (algunos 43)
HOTEL CASA MARGOT,20,google,medium,3-star ~20
HOTEL GOLDEN PARADISE BEACH,9,google,medium,beachfront 8-9
HOTEL HAU BOUTIQUE,19,booking,medium,oceanfront boutique 19
HOTEL HOLBOX BY XALOC,29,official,high,expandido a 29 cuartos/bungalows
HOTEL HOLMAR,15,booking,high,15 cuartos confirmado
HOTEL LAS NUBES DE HOLBOX,28,booking,high,28 cuartos
HOTEL PALAPAS DEL SOL,30,official,medium,boutique 30 cuartos
HOTEL PUNTA CALIZA,12,official,high,sitio oficial 12 cuartos
HOTEL SER CASASANDRA,18,official,high,17 cuartos + 1 villa
HOTEL SOHO BOUTIQUE,21,official,high,21 cuartos adults-only
HOTEL CASA HX,19,official,high,oficial 19 rooms Punta Cocos adults only
HOTEL SPIRIT,14,official,high,Spirit Holbox 14 rooms same property as SPIRIT HOLBOX
HOTEL TIERRA MIA,15,official,high,oficial 15 rooms; aggregators varied 8-15
HOTEL VILLAS CARACOL,16,official,high,oficial 16 suites family-run beachfront
HOTELITO CRISMI,8,booking,high,Booking 8 air-conditioned rooms adults only
MACONDO HOLBOX,22,booking,medium,aggregator 22 rooms; two Macondo listings exist
RECIDENCIAL CIELITO HOMES,20,google,medium,mapea a Cielito Holbox 20 rooms 3 categorias
SPIRIT HOLBOX,14,official,high,oficial solo 14 habitaciones y suites eco boutique
SUITS VILLAS EL JARDIN,19,booking,medium,aggregator 19 rooms suites con kitchenette
BEACH FRONT HOTEL LA PALAPA,25,official,high,oficial 25 rooms adults only beachfront
CASA ASTRAL,20,expedia,low,conflicto 16 core vs 39 con apartments; boutique+aparts estimado 20
HOTEL AMAITE,16,official,high,oficial 16 oceanfront rooms and suites
HOTEL BOUTIQUE AWA,33,booking,high,Booking 33 guestrooms 5-star beachfront 3 restaurants
HOTEL DIOSA KALI,17,official,high,oficial 17 rooms; prior 26 inflado
HOTEL NAJ CASA HOLBOX,28,booking,high,Booking/oficial 28 rooms boutique
HOTEL VILLAS TIBURON,25,booking,high,Booking/aggregator 25-room hotel adults only
HOSTEL TRIBU,11,booking,medium,Booking 11 rooms dorms + privates
HOTEL AK NA,10,official,high,oficial 10 rooms and suites
HOTEL CABAÑAS IDA Y VUELTA,11,expedia,medium,Expedia 11 accommodations bungalows + tents
HOTEL CASA CATBA,5,official,high,oficial 5 adult rooms whole-hotel 10 guests
HOTEL LA PUERTA AZUL HOLBOX,14,official,high,oficial 14 rooms suites and villas
HOTEL PARA TI,16,official,high,oficial 16 rooms adults only
HOTEL PUERTO HOLBOX,14,booking,high,Booking only 14 rooms
HOTEL VILLAS MARGARITAS,18,tripadvisor,medium,aggregator 18 rooms suites + apartments
HOTEL ZOMAY,14,official,medium,oficial 14 rooms; aggregators 12-14
ALCOBAS DEL MAR,12,booking,high,Booking 12 rooms
APARTMENTS HOTEL ONDA MAYA,11,official,high,oficial 11 apartamentos adults-only
CASA BARBARA,19,booking,medium,Booking 19 rooms; no oficiales 22-25
HOTEL CASA IGUANA,10,booking,high,Booking 10 rooms
HOTEL EL CORAZON BOUTIQUE,11,official,high,oficial 11 rooms adults-only
HOTEL ENSUEÑO HOLBOX APARTMENTS,8,estimate,low,aparthotel pocas unidades estimado
HOTEL LOS ARCOS,30,booking,high,Booking/Hotels.com 30 rooms
